ZipCode,WaterUse,PowerUse,Date
90004,48.84,409,2005
90004,43.76,366,2005
90004,42.15,359,2005
90004,38.21,371,2005
90004,38.37,393,2005
90004,37.57,394,2006
90004,33.57,356,2006
90004,37.16,381,2006
90004,36.21,358,2006
90004,41.63,383,2006
90004,43.35,385,2006
90004,46.35,433,2006
90004,48.02,458,2006
90004,43.99,386,2006
90004,43.33,362,2006
90004,39.5,386,2006
90004,38.79,415,2006
90004,38.4,412,2007
90004,34.23,367,2007
90004,39.93,377,2007
90004,40.29,345,2007
90004,43.53,359,2007
90004,43.44,350,2007
90004,45.92,416,2007
90004,46.87,454,2007
90004,41.98,381,2007
90004,40.88,361,2007
90004,36.85,390,2007
90004,35.53,421,2007
90004,34.14,411,2008
90004,31.01,377,2008
90004,36.73,374,2008
90004,39.2,344,2008
90004,42.07,380,2008
90004,41.57,385,2008
90004,44.32,414,2008
90004,44.56,430,2008
90004,41.37,388,2008
90004,41.16,383,2008
90004,36.85,389,2008
90004,35.03,413,2008
90004,33.78,398,2009
90004,29.89,349,2009
90004,35.41,368,2009
90004,37.31,340,2009
90004,38.9,351,2009
90004,37.68,341,2009
90004,40.51,396,2009
90004,40.93,434,2009
90004,38.04,385,2009
90004,36.9,373,2009
90004,33.35,373,2009
90004,32.61,393,2009
90004,30.88,390,2010
90004,26.6,349,2010
90004,31.5,358,2010
90004,32.74,324,2010
90004,35.77,334,2010
90004,36,324,2010
90004,38.45,357,2010
90004,39.69,375,2010
90004,36.15,357,2010
90004,34.96,366,2010
90004,31.65,383,2010
90004,30.97,408,2010
90004,31.17,389,2011
90004,28.41,339,2011
90004,32.2,362,2011
90004,32.85,340,2011
90004,35.8,347,2011
90004,36.24,337,2011
90004,38.74,366,2011
90004,38.87,382,2011
90004,35.7,352,2011
90004,34.76,353,2011
90004,31.69,370,2011
90004,31.62,397,2011
90004,31.76,379,2012
90004,29.97,344,2012
90004,32.23,351,2012
90004,31.78,328,2012
90004,36.24,335,2012
90004,36.94,326,2012
90004,22.91,397,2012
90004,23.75,437,2012
90004,21.39,400,2012
90004,21.11,396,2012
90004,15.45,381,2012
90004,13.1,394,2013
90004,14.06,386,2013
90004,13.47,341,2013
90004,16.81,344,2013
90004,18.07,310,2013
90004,20.48,343,2013
90004,21.27,346,2013
90005,81.35,323,2005
90005,81,326,2005
90005,78.17,306,2005
90005,77.15,316,2005
90005,72.53,315,2005
90005,73.33,329,2005
90005,73.11,341,2006
90005,64.98,309,2006
90005,71.44,331,2006
90005,67.81,314,2006
90005,76.62,313,2006
90005,74.83,315,2006
90005,82.04,371,2006
90005,81.15,365,2006
90005,76.64,307,2006
90005,76.34,315,2006
90005,72.23,325,2006
90005,72.81,344,2006
90005,71.7,361,2007
90005,64.77,320,2007
90005,73.31,317,2007
90005,71.56,303,2007
90005,74.41,302,2007
90005,73.82,301,2007
90005,75.22,344,2007
90005,74.58,347,2007
90005,70.83,313,2007
90005,69.48,322,2007
90005,66.77,327,2007
90005,63.01,344,2007
90005,61.83,356,2008
90005,56.6,328,2008
90005,64.48,302,2008
90005,63.16,291,2008
90005,68.82,319,2008
90005,66.53,315,2008
90005,71.83,336,2008
90005,71.08,337,2008
90005,68.72,316,2008
90005,67.82,326,2008
90005,65.88,326,2008
90005,62.17,337,2008
90005,61.95,332,2009
90005,55.58,297,2009
90005,64.11,305,2009
90005,62.53,290,2009
90005,66.42,290,2009
90005,63.83,284,2009
90005,69.62,325,2009
90005,68.87,336,2009
90005,67.33,331,2009
90005,65.99,337,2009
90005,63.31,321,2009
90005,62.42,331,2009
90005,59.67,329,2010
90005,53.1,296,2010
90005,60.6,297,2010
90005,59.35,282,2010
90005,64.89,287,2010
90005,62.8,280,2010
90005,68.58,307,2010
90005,68.55,312,2010
90005,65.06,303,2010
90005,65.55,316,2010
90005,60.41,322,2010
90005,60.16,337,2010
